solicitar (56.3, 36.8) ;
solicitar (22.0, 26.5) ;
solicitar (62.8, 39.5) ;
solicitar (46.0, 73.1) ;
solicitar (23.8, 44.8) ;
solicitar (65.8, 34.6) ;
solicitar (81.8, 26.1) ;
solicitar (60.6, 97.5) ;
solicitar (56.4, 67.4) ;
solicitar (56.4, 44.2) ;
solicitar (80.9, 76.9) ;
solicitar (12.7, 43.4) ;
solicitar (32.9, 31.6) ;
solicitar (22.4, 31.2) ;
solicitar (40.5, 77.5) ;
solicitar (28.6, 1.1) ;
solicitar (71.7, 54.5) ;
solicitar (73.2, 48.3) ;
solicitar (23.2, 86.5) ;
solicitar (69.8, 15.2) ;
solicitar (19.4, 31.7) ;
solicitar (88.7, 12.4) ;
solicitar (74.0, 19.2) ;
solicitar (0.7, 22.0) ;
solicitar (67.0, 77.7) ;
solicitar (27.4, 52.1) ;
solicitar (14.7, 4.1) ;
solicitar (63.4, 1.8) ;
solicitar (0.0, 89.7) ;
solicitar (68.6, 60.7) ;
solicitar (35.2, 59.4) ;
solicitar (19.9, 1.5) ;
solicitar (66.8, 53.0) ;
solicitar (4.0, 81.3) ;
solicitar (62.4, 55.7) ;
solicitar (19.0, 38.1) ;
solicitar (51.7, 52.2) ;
solicitar (65.5, 37.5) ;
solicitar (53.9, 43.7) ;
solicitar (67.0, 13.8) ;
solicitar (86.6, 75.8) ;
solicitar (4.1, 84.8) ;
solicitar (17.6, 32.5) ;
solicitar (70.8, 64.7) ;
solicitar (97.3, 53.3) ;
solicitar (48.9, 10.3) ;
solicitar (60.3, 78.3) ;
solicitar (43.5, 78.9) ;
solicitar (58.0, 59.8) ;
solicitar (3.6, 70.0) ;
solicitar (22.8, 83.4) ;
solicitar (9.2, 39.9) ;
solicitar (30.8, 76.5) ;
solicitar (7.9, 37.0) ;
solicitar (59.8, 27.2) ;
solicitar (69.3, 41.4) ;
solicitar (5.2, 19.3) ;
solicitar (47.1, 28.1) ;
solicitar (70.8, 1.5) ;
solicitar (43.4, 45.6) ;
solicitar (44.8, 54.2) ;
solicitar (24.6, 8.3) ;
solicitar (71.9, 54.6) ;
solicitar (1.1, 80.5) ;
solicitar (65.3, 14.5) ;
solicitar (85.7, 59.2) ;
solicitar (29.9, 95.0) ;
solicitar (16.6, 78.0) ;
solicitar (70.5, 98.3) ;
solicitar (80.6, 56.5) ;
solicitar (28.8, 5.3) ;
solicitar (58.6, 82.6) ;
solicitar (47.8, 13.8) ;
solicitar (5.7, 67.5) ;
solicitar (81.9, 3.6) ;
solicitar (61.9, 17.9) ;
solicitar (98.7, 38.0) ;
solicitar (52.8, 35.1) ;
solicitar (31.3, 59.1) ;
solicitar (29.4, 22.6) ;
solicitar (65.6, 53.3) ;
solicitar (71.4, 48.4) ;
solicitar (83.4, 12.7) ;
solicitar (79.0, 10.7) ;
solicitar (15.2, 22.1) ;
solicitar (50.8, 87.6) ;
solicitar (28.8, 39.7) ;
solicitar (42.3, 62.0) ;
solicitar (30.8, 40.6) ;
solicitar (30.7, 86.1) ;
solicitar (60.1, 17.7) ;
solicitar (62.0, 23.4) ;
solicitar (24.5, 5.2) ;
solicitar (94.8, 17.4) ;
solicitar (58.5, 57.9) ;
solicitar (24.9, 79.1) ;
solicitar (80.8, 63.9) ;
solicitar (16.7, 32.1) ;
solicitar (20.9, 12.8) ;
solicitar (22.5, 94.6) ;
solicitar (82.6, 22.8) ;
solicitar (32.4, 54.5) ;
solicitar (14.6, 73.9) ;
solicitar (73.4, 51.0) ;
solicitar (32.4, 75.0) ;
solicitar (92.0, 94.2) ;
solicitar (17.2, 29.7) ;
solicitar (27.6, 92.9) ;
solicitar (10.6, 31.1) ;
solicitar (66.3, 75.4) ;
solicitar (77.7, 44.7) ;
solicitar (34.0, 28.5) ;
solicitar (97.0, 24.0) ;
solicitar (36.1, 64.4) ;
solicitar (90.7, 26.0) ;
solicitar (43.6, 95.9) ;
solicitar (56.2, 77.6) ;
solicitar (48.0, 91.6) ;
solicitar (19.6, 75.3) ;
solicitar (3.7, 87.1) ;
solicitar (80.4, 74.1) ;
solicitar (4.7, 95.2) ;
solicitar (25.7, 52.4) ;
solicitar (19.5, 19.6) ;
solicitar (4.0, 35.6) ;
solicitar (55.2, 51.7) ;
solicitar (38.6, 83.5) ;
solicitar (63.7, 75.6) ;
solicitar (34.8, 47.0) ;
solicitar (78.9, 36.7) ;
solicitar (97.9, 40.6) ;
solicitar (84.4, 71.7) ;
solicitar (89.2, 17.8) ;
solicitar (71.0, 22.8) ;
solicitar (15.3, 23.6) ;
solicitar (57.1, 15.8) ;
solicitar (4.3, 88.1) ;
solicitar (52.4, 31.9) ;
solicitar (61.5, 46.3) ;
solicitar (33.5, 77.8) ;
solicitar (31.6, 33.6) ;
solicitar (7.1, 18.4) ;
solicitar (17.9, 22.7) ;
solicitar (39.2, 8.8) ;
solicitar (64.3, 60.2) ;
solicitar (45.2, 35.6) ;
solicitar (55.8, 13.6) ;
solicitar (5.5, 30.4) ;
solicitar (6.1, 96.1) ;
solicitar (93.7, 74.4) ;
solicitar (48.8, 56.9) ;
solicitar (62.5, 84.1) ;
solicitar (23.4, 88.8) ;
solicitar (54.5, 6.4) ;
solicitar (77.7, 18.4) ;
solicitar (98.2, 69.5) ;
solicitar (58.1, 29.1) ;
solicitar (80.7, 51.3) ;
solicitar (68.7, 23.9) ;
solicitar (35.1, 44.6) ;
solicitar (12.7, 44.8) ;
solicitar (5.0, 68.6) ;
solicitar (24.1, 59.4) ;
solicitar (8.3, 19.0) ;
solicitar (56.6, 77.8) ;
solicitar (52.1, 30.8) ;
solicitar (41.0, 0.2) ;
solicitar (1.5, 28.4) ;
solicitar (33.7, 68.2) ;
solicitar (19.9, 38.9) ;
solicitar (97.4, 95.5) ;
solicitar (42.3, 81.9) ;
solicitar (26.3, 31.2) ;
solicitar (89.6, 20.2) ;
solicitar (77.6, 74.3) ;
solicitar (86.3, 15.9) ;
solicitar (55.9, 85.0) ;
solicitar (23.1, 66.4) ;
solicitar (47.7, 55.1) ;
solicitar (70.8, 43.1) ;
solicitar (69.8, 69.0) ;
solicitar (72.8, 49.8) ;
solicitar (95.8, 75.9) ;
solicitar (66.4, 74.3) ;
solicitar (10.8, 31.2) ;
solicitar (34.3, 74.0) ;
solicitar (10.2, 38.9) ;
solicitar (23.9, 32.4) ;
solicitar (67.7, 79.9) ;
solicitar (25.0, 5.1) ;
solicitar (11.7, 94.8) ;
solicitar (79.2, 96.7) ;
solicitar (75.8, 48.6) ;
solicitar (62.2, 81.5) ;
solicitar (76.2, 37.9) ;
solicitar (45.3, 53.4) ;
solicitar (30.6, 31.4) ;
solicitar (50.8, 37.0) ;
solicitar (44.1, 30.7) ;
solicitar (16.4, 98.6) ;
solicitar (50.8, 34.6) ;
solicitar (14.3, 4.9) ;
solicitar (37.9, 52.0) ;
solicitar (75.3, 83.8) ;
solicitar (40.2, 82.2) ;
solicitar (33.4, 41.9) ;
solicitar (50.6, 28.8) ;
solicitar (52.4, 92.0) ;
solicitar (81.9, 33.9) ;
solicitar (85.7, 93.7) ;
solicitar (75.4, 76.3) ;
solicitar (41.2, 39.0) ;
solicitar (54.5, 40.5) ;
solicitar (31.1, 36.5) ;
solicitar (97.4, 67.9) ;
solicitar (90.1, 5.9) ;
solicitar (46.8, 22.8) ;
solicitar (82.4, 59.3) ;
solicitar (91.1, 75.2) ;
solicitar (56.2, 66.8) ;
solicitar (8.9, 43.7) ;
solicitar (77.4, 57.8) ;
solicitar (51.9, 27.7) ;
solicitar (14.9, 77.0) ;
solicitar (59.9, 87.4) ;
solicitar (0.7, 10.5) ;
solicitar (46.1, 17.6) ;
solicitar (38.5, 96.5) ;
solicitar (1.2, 90.9) ;
solicitar (37.4, 54.9) ;
solicitar (93.0, 84.5) ;
solicitar (87.5, 80.0) ;
solicitar (53.7, 72.4) ;
solicitar (24.0, 12.8) ;
solicitar (38.3, 73.8) ;
solicitar (20.6, 14.2) ;
solicitar (83.6, 24.1) ;
solicitar (43.9, 50.9) ;
solicitar (40.4, 56.1) ;
solicitar (65.9, 27.8) ;
solicitar (93.5, 26.9) ;
solicitar (84.6, 36.9) ;
solicitar (53.2, 39.3) ;
solicitar (69.5, 16.1) ;
solicitar (5.3, 29.3) ;
solicitar (27.7, 46.7) ;
solicitar (39.2, 32.8) ;
solicitar (26.1, 64.0) ;
solicitar (82.1, 80.0) ;
solicitar (56.5, 83.8) ;
solicitar (35.6, 89.3) ;
solicitar (54.5, 11.4) ;
solicitar (11.2, 56.2) ;
solicitar (29.1, 85.8) ;
solicitar (61.7, 49.2) ;
solicitar (99.0, 57.3) ;
solicitar (75.1, 50.3) ;
solicitar (97.6, 50.5) ;
solicitar (58.2, 33.2) ;
solicitar (8.8, 27.9) ;
solicitar (46.8, 10.8) ;
solicitar (42.4, 78.5) ;
solicitar (36.0, 11.4) ;
solicitar (10.6, 29.7) ;
solicitar (85.3, 79.4) ;
solicitar (39.2, 63.5) ;
solicitar (81.7, 91.0) ;
solicitar (52.8, 68.1) ;
solicitar (80.9, 98.9) ;
solicitar (90.0, 84.9) ;
solicitar (83.2, 85.2) ;
solicitar (17.5, 21.7) ;
solicitar (81.4, 4.5) ;
solicitar (39.1, 18.6) ;
solicitar (28.7, 70.9) ;
solicitar (2.7, 69.8) ;
solicitar (58.5, 22.2) ;
solicitar (55.5, 90.2) ;
solicitar (88.2, 31.5) ;
solicitar (37.9, 37.2) ;
solicitar (59.9, 7.8) ;
solicitar (23.8, 24.9) ;
solicitar (3.3, 61.4) ;
solicitar (4.6, 2.1) ;
solicitar (58.9, 33.0) ;
solicitar (76.6, 72.9) ;
solicitar (53.8, 58.5) ;
solicitar (39.2, 79.4) ;
solicitar (31.6, 60.7) ;
solicitar (2.9, 37.0) ;
solicitar (1.3, 74.2) ;
solicitar (2.5, 21.3) ;
solicitar (30.9, 49.2) ;
solicitar (97.0, 40.9) ;
solicitar (87.3, 84.3) ;
solicitar (20.5, 45.3) ;
solicitar (87.9, 49.4) ;
solicitar (16.2, 98.9) ;
solicitar (15.1, 72.1) ;
solicitar (13.7, 45.8) ;
solicitar (91.4, 59.8) ;
solicitar (36.9, 45.3) ;
solicitar (85.8, 89.6) ;
solicitar (66.4, 56.6) ;
solicitar (45.7, 14.7) ;
solicitar (1.6, 82.0) ;
solicitar (87.9, 66.0) ;
solicitar (77.5, 88.9) ;
solicitar (22.0, 49.3) ;
solicitar (6.6, 72.9) ;
solicitar (76.5, 63.1) ;
solicitar (54.1, 76.9) ;
solicitar (69.1, 84.7) ;
solicitar (94.7, 49.1) ;
solicitar (67.7, 79.8) ;
solicitar (19.3, 9.8) ;
solicitar (23.4, 68.3) ;
solicitar (92.6, 64.2) ;
solicitar (95.0, 41.7) ;
solicitar (20.0, 74.7) ;
solicitar (49.3, 92.7) ;
solicitar (68.4, 67.4) ;
solicitar (71.3, 1.5) ;
solicitar (70.2, 64.1) ;
solicitar (13.8, 37.6) ;
solicitar (47.2, 30.7) ;
solicitar (35.0, 0.9) ;
solicitar (40.0, 81.1) ;
solicitar (77.1, 58.9) ;
solicitar (36.2, 66.0) ;
solicitar (9.1, 28.5) ;
solicitar (10.8, 32.5) ;
solicitar (50.5, 85.7) ;
solicitar (91.6, 34.7) ;
solicitar (28.5, 55.2) ;
solicitar (69.5, 41.6) ;
solicitar (2.6, 35.3) ;
solicitar (73.9, 33.2) ;
solicitar (92.3, 9.7) ;
solicitar (29.0, 7.3) ;
solicitar (40.7, 87.7) ;
